region,where_you_work,current_work_area,salaried_hourly,feel_like_owner,owner_feel_job_impact,what_else_feels_like_owner,increase_sense_of_ownership,owner_sense_job_impact,psp_most_important_part,psp_most_confusing_part
,,,,,,,,,,
,,,,,,,,,,
5,3,1,h,"yes, to an extent. I understand I dont have the ability to make decisions on running the business past my department on a day to day basis, but it makes take pride in my work and appreciate what HEB gives me back.",it helps make me strive to always do my best,stop,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,I think that is most important for customers to feel happy and satisfied when shopping in our store,"Whenever I nay have an idea or a suggestion ,I can just talk to my store director and she takes the time and listens to me and if it works she'll give it a try..",,,Don't understand it much but I trust my company that they'll do what's best for us,Alright Net return
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,It inspires me and encourages me to do my best for heb because heb does their best for me.,I feel like I am a part of the big picture with heb I take ownership in my duties to heb and when I perform well I feel valued by heb.,,,,
7,3,1,H,I do feel like an owner.,It boosts my integrity and makes me feel great.,"Being able to come in and help anyone in anyway. Taking care of my store at all times and of course, hospitality.",,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,Work harder to achieve the best results for a company I have ownership in,VPP No,,,Allocation because it increases the units i have,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,I do feel some responsibility for making sure customers find what they are shopping for. I try everyday to make sure we are in stock as much as possible.,I feel that I should do everything in my power to make sure items are in stock and ready for customers,"I think being able to make a decision on what's best for customers who might find something out of stock,  maybe substitute something Similar for the same price as the out of stock.",,,I think all the information is important.,No I think it's very easy to understand.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,3,1,H,Yes,You want to take care of things you own,Taking pride in our stores and taking care of our store and customers,,,I don't understand any of it,All of it it's probably written plan and clear I just don't understand any of this kind of stuff the same as I don't understand my 44012k
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I work hard because I love the company and want it to succeed,All of the communication helps me feel connected to the company and an owner.,,,My personal financial information,No nothing is confusing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yea,Helps me remember we are in it together create more for each other,Our sense of pride in the store and our standards for customer service,,,Our net return on investment,No
,,,,,,,,,,
1,3,1,H,Yes,I understand how the customer feels. If I do a good job they have a great experience and will return.,Our feelings are taken into consideration. We're kept updated on all the goings on in the company.,,,The net return on my investment. I also like that they show us what we started with.,No. It is self explanatory. And I'm sure if there was any confusion all we'd have to do is ask.
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,I feel that the company cares about us 🙂,Just that,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,5,S,Yes,"Desire to drive efficiencies, focused on decisions that impact costs or profits, continue to focus on how we best continue to drive results while maintaining our culture as we continue to grow in size","Ability to be part of decisions, transparency in information, feeling like we are seen for our efforts",,,Ending balance,I do not find anything confusing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,3,1,H,Yes,Encourages me to grow within the company.,Having the opportunity to growing within the company,,,,
4,3,5,s,Yes,Makes me think of the company as a whole and drives my actions to consider the total company impact versus only focusing on how my actions affect my day only.,Being asked for imput,,,Return on investment,I do not
3,3,,,,,,,,,
6,3,1,H,No,,,Show more about what we do,No,Net return on investment,No
7,none,6,s,no,,,"Nothing, my work in general makes me feel like an owner.  Some random money I get after I quit, wont change that.",Not at all.,Non of it.,Its confusing as to why this is snail mail out to everyone.  There should be an option to receive only as digital.  Me as an owner sees this as a HUGE waste of money to partners who will probably never open it.  I receive HEB tax info only by electronic and outside of HEB all kinds of financial info only by electric so why not this.
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,Makes me know that every decision I make is for the business and for the company I am an owner to.,The incentives we get,,,End balance,Makes sense
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,It doesnt,The surprise is it gives us throughout the year like cash or extra money on our paycheck in 25% discount,,,Allocations Allocations cause it shows me where I'm at,No
,,,,,,,,,,
5,3,1,H,Yes,I take pride in my work,Growth of the company,,,Return on investment and the more detailed information of roi.,No  area confusing
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,We put our 100% of performance,That the company cares about us,,,Allocation Because we know how much we earned per year,No
,,,,,,,,,,
1,3,1,h,y I feel more responsible. Like I have an impact on my bottom dollar,it makes me aware of the things I do.,That I am being looked out for.,,,,
1,3,1,H,Yes,"For myself, I pay much more attention to things like the condition of the store, i.e. trash in the aisles. I make sure to greet every customer and partner. I pay more attention to Out of Stock items and have a much bigger interest in the company as a whole. I share my interest with other partners.",How HEB takes care of their partners. How our U.D. and store leaders treat their partners,,,It's great to see the beginning numbers and the ending numbers. It's also good to see why the numbers are the way they are,No
,,,,,,,,,,
7,3,1,H,Yes,It make me feel like im working on my own projects,Partner net keeps me well infromed,,,,
,,,,,,,,,,
5,3,1,H,Yes,"Wanting to make sure heb makes as much profit as possible so it can be passed on to us, the workers in somevway","Surveys, good managers/partners. Vast array or ways to move up or learn more.",,,Allocation and ending balance,I do not
,,,,,,,,,,
2,1,1,H,Si,"Cuidas tu trabajo, pues sabes que todo lo malo perjudicara al inventario de la tienda, tipo robo, metma , malgasto.","La libertad de trabajar tranquilo, en equipo y en un buen ambiente",,,"Sus actualizaciones, para estar enterado de nuevas acciones",Todo muy entendible
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,Makes me proud,Leadership Managers and co workers,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Central Texas,3,1,H,N,,,N,"Okay I really like to work H‑E‑B  is ready good stores, but I don’t like how how I work this place for 6 years but the don’t care about what I do my job . I really respect my job like how I care my self. But for 6 years I been there I don’t get enough hours I really feel so bad , sometimes I feel like to quit this job, but I can’t because is my job I really like it, I really like my H‑E‑B very sure 🙏🏾👌",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Central Texas,H-E-B/H-E-B Plus!,5,S,"No, dont really understand it",,,"More frequent/visible contributions, education on what it is, how it works, why it matters, etc.",i would feel more part of a common cause,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Of Course,I always give my all,Working for a great company,,,Keeping me up to date,Not at all
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,It boosts morale and drives me to be the best at my career,I feel like my effort and opinion count,,,Ending balance so I know exactly what it's worth,No
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,Makes me want to work harder,Having the chance to work for a great company,,,I consider the whole page important,No not at all
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yea,I work hard at any job I do. I was taught the correct way from my parents and I feel everyone should work hard.,All the perks HEB rewards of with. 10% discount and more during the holidays.,,,All is important because I see what I contribute and then what H-E-B matches.,No it’s self explanatory.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Not really,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,yes,yes It motivates me.,my voice counts,,,allocation I like to see the metric success of our company and how much it contributes to my account,"no, it is pretty straight forward"
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,No,,,Just to hear us what can we do more for customer service and to support what we can do with HEB,Yes To be hands on in the work and to understand our feed backs we give to our store managers,👍 Allocations,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,H,Yes,0 I have a feeling of loyalty to the company.,I've always felt that HEB cares for its partners.,,,The ending balance.  It makes me feel like an owner.,No.  It easy to read.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,No,,,Not sure,I do my job 100% either way,,
,,,,,,,,,,
7,3,6,s,Yes,It doesnt,my contribution to the teams I'm on,,,ending balance,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,Striving to Improve My Customer Service,,,,,
6,3,1,H,Yes,I feel pretty good being an owner of this company,I would like to see more Ty from store leaders in stead of all the negatives,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Unsure Yes,Comfortable I work when scheduled and feel appreciated,Unknown,,,"The ending balance. So that I can see my total, contributions",No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,Take even more pride than before. Have a better eye for detail.,N/A Nothing,,,I cant choose. Every column is just as important as the rest,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,y,Feeds the drive to perform,When we have a vote in company initiatives.,,,Ending balance and the allocation,n
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,I feel that by taking care of my company will be great for both of us,By my director and service manager,,,On my divedence,Not at all
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,1,,,,,,,,,
7,3,5,s,yes,"PSP helps me to feel like a part of the greater team and just gives me the sense that what I do is important and my work matters, therefore I feel motivated to work hard","Recognition from leadership when I do good work, working across a variety of different teams and departments, and doing work closely related to stores and products",,,not sure,no
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,Makes me more concerned with keeping the company profitable.,"It is a family business,  and our Partners are like family.",,,"The allocation for the year, and the total.",No it seems pretty straight forward.
2,3,1,H,Sometimes,It makes me do better at whatever I'm doing,They take into consideration of my opinion,,,Net return on investment,No
,,,,,,,,,,
2,3,Stores,H,Yes,Because I love my job,,,,,
,,,,,,,,,,
7,3,1,H,Yes,It’s my company and I feel more involved,Ownership gives me empowerment to take decision,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,,,,,,
1,3,1,h,yes,Makes me appreciate my job better,The fact that we get stock in the company,,,The years allocated amount and the ending balance,not really
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,"I take pride in my store,and my customers",I can't answer that question,,,The end because that tells me how ower company is doing.,Nope
,,,,,,,,,,
3,3,1,H,Yes,Being a owner makes me want to perform at my highest ability that I can.,Having my certificate framed on my wall,,,Ending balance. Because the amount of units being added in my account every year,No
Border,3,1,H,Yes,,,,,,
,,,,,,,,,,
7,3,1,H,Not really,,,Actually listen to it's partners opinions and ideas,Be more motivated,Ending balance,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,S,No,,,"Streamline communication, assist with making decisions",Somewhat It will help inspire passion to other partners. A sense of belonging,Net return,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,My work is harder more efficient,Not sure just love the company,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,I take ownership in what I do and see in my store,Nothing,,,"The ending balance, because it shows what I have",No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes,I want to provide the best work possible for our customers,"That I’m able to give the company ideas, processes to make our company better",No change required,Would make me proud to work for the company,Ending balance,No
,,,,,,,,,,
2,3,1,H,Absolutely,I want to help in anyway possibly to improve helping to grow so we can help other people like we have done.,Makes me feel Important .,,,Beginning balance it shows it shows how good we are doing.,"For me any I think is very clear it tell you exactly how much we made ,how much you took off and what is your final balance .In my opinion is great the way it is. And thank you for considering us."
2,3,1,H,Yes,"I feel like I need to make it a better place to shop, work harder to make a difference and make it easier for the customers to shop and enjoy it, and spend money.","I feel appreciated, like I’m important to the company, that I matter,",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,It encourages the pride I take in my work and work ethic,Our VPP discount which shows me how much H‑E‑B takes care of not only me but my family as well,,,,
2,3,1,H,Absolutely,It makes me feel more responsible for giving my 100%.,Our insurance,,,The allocation part,"The allocation part is the most important, it allows me to see the increase we will get."
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,No,,,Nothing,Would take a extra time and pride,This one,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,6,s,Yes,Good but could be better,more/better stock options matching top tech companies will be nice,,,Allocation - Because it builds equity in the company for long run,beginning balance. how much will be added this year. yoy allocation
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,No but I like too act like owner,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,h,yes,VERY WELL,THE YEARS IVE WORKED HERE,,,"ALLOCATION IT EXPLAINS WHAT  HAPPENS ,HOW IT ACCUMILATES",NO NONE AT ALL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
6,3,1,H,Yes I do,Makes you take more pride  and make thought out decisions,The way H-E-B gives us the autonomy to make certain decisions. Makes me feel like I have a voice and that my opinion matters,,,Allocation. Shows how well we as a company are doing and encourages me to continue what I'm doing,No
,,,,,,,,,,
1,3,1,H,Yes,Makes it feel like I’m part of the bigger team,Being informed of the companies plan and progress,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
San Antonio,3,5,s,"Yes, but not because PSP.  PSP is just icing on the cake.",Ownership drives people to have a personal connection with their work.  Most people don't own the companies they work with/for so they will never care as much about the company as the people that own it.  Ownership makes people more aware and results driven.,My work community.  I've had a longer relationship with HEB than anything else in my life.  I feel like decisions I make impact the business and that drives me.,,,,
2,3,1,h,yes,to get  better at what i do,my partners and leader,,,to see my ending balances,"nothing, everything's well explained"
5,3,1,H,No,,,Leadership Leadership  doesn't  acknowledge  accomplishments  other than throwing an occasional  pizza party for partners.,I feel I still do a good  job regardless  of sense of ownership.,,
5,3,1,H,Yes,Make it better,Nothing,,,Ending balance. Nearing retirement.,No
5,3,1,h,no,,,put money into it. I havent been paid the last 2 yrs.,way more problems going on at Heb than lack of sense of ownership!,"? the balance, how much money do i hsve in there.","Ok, I'm done. Perfect example of EVERything HEB..no body listening. just run by bots"
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Definitely Yes,Nothing,Inspired to work,,,Everything is fine for me,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Sometimes,Don’t understand the question,Don’t know,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,"Yes, but not because PSP",,,"I feel like an owner already.  I have many opportunities, competitive pay and means to grow as a person through my work.","Owners care more.  Work is not just a paycheck.  The problem is how do you get people to feel like owners?  No one cares about your money more than you, at the same time no one will care about a company more than the owners.  Feeling like an owner drives me to be more effective at my job.",beginning balance and ending balance,no
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,No,,,Continued support and providence for. It's more just feeling apart of a great team not necessarily owning.,None I would continue to provide 100% to my company,,
,,,,,,,,,,
7,3,5,s,yes,Pride in my job and my company,"H-E-B shares what is going on in our company, the highs and the lows.",,,It is all very impaortant,no
,,,,,,,,,,
6,3,1,h,"I do. It's very nice to have a nest egg being built for my future, and it's nice to know I have a big stake in the company. It is a point of pride for me, as I really love HEB and want it to continue to succeed here in Texas.",It motivates me to be more careful and attentive to detail.,Helping customers and being acknowledged for my efforts and improvements.,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes sometimes,1 Y,Y Very much,,,Getting recognized,No
7,3,5,s,yes,I appreciate the Stock Plan but I have always had the same feeling of commitment since starting my career with H-E-B.  I,I'm just passionate about the work I do and proud to work for such a great company that serves a valuable need in the community and goes above and beyond to give back.,,,"It all relevant and important.  I like to see the performance, allocation amount and ending units/shares.",Not at all.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,1,H,Yes,Definitely Inspired to work hard.,Motivated to work hard & put more,,,Nothing,Not really
7,3,5,s,Kind of,For me personally it does not change things to much,Nothing else does,,,Allocation The allocation because it tells me how much the company is giving me which shows how much they value me,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,Feel great,Because everyone matters my job makes a difference taking care of our customers and helping out our Community with HEB,,,Heb match and am Grateful To work for such an awesome company,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,6,s,yes,Only a little. I think the company ethics and reputation have a greater effect on me personally.,Company culture.,,,The Allocation section. I like to see how it is growing and the impact that our performance is having on that.,"Nope, it looks pretty good, thanks."
1,3,1,H,Yes,Between grateful for being with a good company and proud to be “IN” a great company…so both,"My store leaders are so willing to hear and listen, from anything as minuscule to “fixing” a problem with an ice machine or cigarette display case…to solving pretty major problems regarding our partners and or with abusive customers",,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Yes,I take pride in my work and feel proud to work for HEB,Nothing,,,Ending Balance,No
,,,,,,,,,,
5,3,1,H,Yes,1 Feels like what I do is important,Have a piece of the company and what I do helps me as I get more if the company does better,,,The amount of money I have,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
4,3,1,H,Yes,It makes me want to do better,Just the compensation,,,Allocation The additional allocation is important because that's allowing me to have more money for my future,No
Central Texas,3,1,H,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,h,yes,In every way like into shrink and making  sure i pick anything from the floor,That the company is taking great care of us as partners,,,"The allocation ,why because they are letting us know if their was a gain or a loss for the company",No i believe it is self explained
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,yes,,,,,,
1,1,1,H,Yes,I don't feel like an owner I feel like the partner stock plan is a joke and nothing more than a tax shelter to make ignorant employees feel like owners or more commonly known as exploitation,I don't feel like an owner I don't even make a living wage,,,Im glad to have the money but I really don't care about this the printing of that paper is a waste of resources,No I don't find anything confusing about the images that you've produced a third grader could figure this out
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,YES,It motivates me,Taking ownership in what I do to help the store and our customers,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,1,h,yes,I work harder and am prouder,"the perks, and my coworkers",,,the balances and what it all costs,nothing confuses me
,,,,,,,,,,
,,,,,,,,,,
6,3,1,H,Yes,Accomplishment Taking pride on what I do,I can help someone to achieve their success,,,,
,,,,,,,,,,
7,3,1,H,Great Yes,It makes the job better cause I feel like I have a voice,Being able to communicate with store leaders bout needs of the store & know they'll think & work on it,,,Ending balance cause that shows what total amount you have,No
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Yes at times,Treat H-E-B as it were mine,just that,,,Beginning and ending balance and the allocation information,Net return on investment
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,In some situations,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,5,1,H,No,,,Nothing,Not much,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,5,s,Yes,"I feel like what I do matters, it has impact.  If I can help improve things (even if its small) within my sphere of influence, I am helping make the company better overall which will help benefit all owners/Partners",What I do matters.  I feel empowered by my direct leaders and the senior leaders of the company to do the right thing for the right reasons for our Partners. I feel valued and feel like a vital member of the team.,,,My eyes immediately go to the Net Return on Investment and the Allocation for the current year.  Those things tell me how the company is doing overall and how HEB is recognizing their Partners for our hard work and contributions to the team.,I don't find anything to be confusing. I think it has the right level of detail and clearly directs Partners to the right place to learn more.
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,1 It impacts alot I don't feel like I'm just working for a paycheck.  It feels like I'm working for a better future,Seeing what heb does for community's and being proud of working for a company that does that,,,The stock share prices,No
5,3,1,H,Not,,,Manager sometimes is more a job then a family working together,Good my 100% every day,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,yes,the same,pride in your job,,,all of it is important,no
1,3,1,H,Yes,I try my hardest to do the best of my abilities for my company.,The way I am treated,,,Return on investment and allocation. Net loss or gain,Nothing
,,,,,,,,,,
1,3,1,H,"Yes I do, they treat us like people.","It makes me take on more responsibilities, if i see trash on floor I will pick it up and throw in the trash can",,,,,
5,3,1,H,"Great! Yes, in a limited way",Positively Yiu want to improve your performance,Involvement in local decisions,,,Ending balance,No
,,,,,,,,,,
7,3,3,s,yes,It gives the feel of belongingness and it feels to be more responsible towards my duties.,The company meetings and the valuable information shared by the leadership. Also the word Partner gives the feeling of ownership,,,The allocation part,All the parts are clearly understandable
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,Good I just love what I do at heb help customers go home happy,My idea count to better the department.,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,S,Kind of,Improves it slightly,Leadership involving or notifying us of big decisions as they are being made or considered and asking for our input or recognizing how we are a part of it.,,,"The Allocation amount because that means we have more ""ownership""",Nothing is confusing to me
7,3,6,h,yes,makes me proud and feel great to work and help my partners,I been working for 35 years with HEB and Love the stores everythin is fresh,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,I am aware of people who try to steal. Or partners stealing time from company,I want to protect my work n job from bad things.to promote my company.,,,The total I have gotten.,Pleased with statement.
,,,,,,,,,,
,,,,,,,,,,
2,3,1,H,Yes,Good I enjoy my job,Working for a great company,,,,
,,,,,,,,,,
5,3,5,S,Yes,Attempt to look out for the business overall and partners.,The culture,,,Ending Balance,No
7,3,5,H,Yes,Motivates me to perform at my best,,,,,
6,5,3,H,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
7,3,5,s,Yes,"Whether or not I was an owner, I would care about my work, but it fills me with pride to work for a company that is investing in me.",The family atmosphere of the company. It feels like we are all helping one another achieve a goal and we each own a piece of that.,,,The ending balance,No
,,,,,,,,,,
,,,,,,,,,,
Houston,Mi Tienda,2,H,No,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
5,3,1,H,Yes,100 percent I take pride in our company and It's apparent to my customers,My input and suggestions are taken seriously,,,Returns,How does the options work
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3,3,1,H,Yes,I forget about it most of the time. We're just trained to go above and beyond for our customers all the time,Not much,,,,
,,,,,,,,,,
7,3,5,H,Yes,Makes me more aware of decisions being made throughout,Feeling like my opinion matters.,,,Beginning Balance,Because it helps me realize how well we did as a company
4,3,1,H,Not really,,,Making sure ESG stays out of our 401k,It would ensure excellence,Net return and end result. As part of partner focus HEB must ensure good returns on our 401ks in order to retain the privilege of investing our money. With Bidens inflation our investments are all the more important as hedges against the future.,Allocation. Description not clear
,,,,,,,,,,
,,,,,,,,,,
1,3,1,H,Not really,,,Im not sure,It would make you take pride in  working and give 110%,,
,,,,,,,,,,
2,3,1,H,Kind of,Worries me.,Hours would make me feel like an owner.,,,,
,,,,,,,,,,
